x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category,set
-0.045,0.969,-0.018,,,,,,,
,,,0.976,-6.768,6.463,B,bench,heavy,30.0
,,,-1.951,2.073,-2.256,B,bench,heavy,30.0
-0.055,1.017,-0.015,,,,,,,
,,,-10.61,2.744,1.829,B,bench,heavy,30.0
,,,-2.012,-0.244,-2.744,B,bench,heavy,30.0
-0.046,0.999,-0.031,,,,,,,
,,,-1.524,-5.976,2.5,B,bench,heavy,30.0
,,,-6.159,1.159,-5.854,B,bench,heavy,30.0
-0.033,0.976,-0.029,,,,,,,
,,,-15.122,3.476,-1.037,B,bench,heavy,30.0
,,,0.793,-0.366,0.244,B,bench,heavy,30.0
-0.032,0.975,0.014,,,,,,,
,,,14.329,-7.378,-3.232,B,bench,heavy,30.0
,,,21.646,-10.793,4.695,B,bench,heavy,30.0
-0.01,0.954,-0.027,,,,,,,
,,,18.902,-5.183,4.634,B,bench,heavy,30.0
,,,-6.463,9.329,-6.89,B,bench,heavy,30.0
-0.042,0.942,0.025,,,,,,,
,,,-3.293,9.085,-9.512,B,bench,heavy,30.0
,,,1.159,-3.537,0.793,B,bench,heavy,30.0
-0.066,0.993,-0.026,,,,,,,
,,,4.024,-4.756,2.256,B,bench,heavy,30.0
,,,-5.122,-4.634,2.439,B,bench,heavy,30.0
-0.058,1.009,-0.059,,,,,,,
,,,-3.659,-0.305,1.341,B,bench,heavy,30.0
,,,7.5,-10.183,11.22,B,bench,heavy,30.0
-0.043,0.973,-0.036,,,,,,,
,,,9.329,-1.037,-8.78,B,bench,heavy,30.0
,,,1.585,2.866,-9.756,B,bench,heavy,30.0
-0.065,0.95,-0.036,,,,,,,
,,,4.695,-4.146,4.451,B,bench,heavy,30.0
,,,3.841,-10.671,6.829,B,bench,heavy,30.0
-0.03,0.96,-0.055,,,,,,,
,,,3.171,-1.89,-6.585,B,bench,heavy,30.0
,,,-3.537,2.012,-0.488,B,bench,heavy,30.0
-0.067,0.987,-0.035,,,,,,,
,,,4.146,-1.22,1.159,B,bench,heavy,30.0
,,,-1.646,-4.268,2.195,B,bench,heavy,30.0
-0.038,0.999,-0.061,,,,,,,
,,,-7.073,4.939,-6.159,B,bench,heavy,30.0
,,,-1.951,1.037,0.61,B,bench,heavy,30.0
-0.063,0.962,-0.043,,,,,,,
,,,11.646,-5.671,4.024,B,bench,heavy,30.0
,,,6.037,-5.366,3.415,B,bench,heavy,30.0
-0.059,0.94,-0.056,,,,,,,
,,,10.0,2.744,-5.671,B,bench,heavy,30.0
,,,1.707,3.72,1.28,B,bench,heavy,30.0
-0.068,0.928,-0.042,,,,,,,
,,,9.939,21.28,-20.671,B,bench,heavy,30.0
,,,25.305,15.549,-27.805,B,bench,heavy,30.0
-0.057,0.821,-0.061,,,,,,,
,,,30.915,10.244,-21.098,B,bench,heavy,30.0
,,,29.573,5.0,-20.61,B,bench,heavy,30.0
