x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category,set
0.051,-0.597,0.32,,,,,,,
,,,-1.22,-3.293,0.732,E,dead,medium,57.0
,,,-18.171,-1.341,3.72,E,dead,medium,57.0
0.041,-0.942,0.313,,,,,,,
,,,-26.098,2.927,4.634,E,dead,medium,57.0
,,,-21.89,2.744,3.293,E,dead,medium,57.0
0.038,-1.12,0.296,,,,,,,
,,,-21.951,-0.366,3.415,E,dead,medium,57.0
,,,-25.915,0.488,3.476,E,dead,medium,57.0
0.032,-0.989,0.263,,,,,,,
,,,-25.915,-8.354,-1.28,E,dead,medium,57.0
,,,-40.976,-0.366,-3.841,E,dead,medium,57.0
0.047,-0.775,0.235,,,,,,,
,,,-45.0,0.427,-2.683,E,dead,medium,57.0
,,,-36.463,-12.866,-5.488,E,dead,medium,57.0
0.04,-0.765,0.129,,,,,,,
,,,-34.634,-11.28,-4.39,E,dead,medium,57.0
,,,-34.939,-7.012,0.183,E,dead,medium,57.0
0.053,-0.838,0.089,,,,,,,
,,,-37.805,-4.756,-2.195,E,dead,medium,57.0
,,,-35.61,3.841,-8.11,E,dead,medium,57.0
0.037,-0.891,0.013,,,,,,,
,,,-21.28,-11.89,-7.683,E,dead,medium,57.0
,,,-26.585,1.28,-8.659,E,dead,medium,57.0
0.059,-0.935,-0.055,,,,,,,
,,,-7.134,-20.244,-0.549,E,dead,medium,57.0
,,,-10.366,-12.134,2.134,E,dead,medium,57.0
0.076,-0.969,-0.03,,,,,,,
,,,-12.805,1.646,-2.195,E,dead,medium,57.0
,,,-6.524,-7.073,-1.585,E,dead,medium,57.0
0.064,-1.024,-0.057,,,,,,,
,,,-7.805,-0.793,2.805,E,dead,medium,57.0
,,,0.915,-9.817,-0.427,E,dead,medium,57.0
0.062,-1.084,-0.079,,,,,,,
,,,1.28,-11.524,5.793,E,dead,medium,57.0
,,,-3.415,2.5,-2.622,E,dead,medium,57.0
0.067,-1.146,-0.062,,,,,,,
,,,0.0,-9.207,0.915,E,dead,medium,57.0
,,,-11.159,9.756,1.22,E,dead,medium,57.0
0.08,-1.172,-0.103,,,,,,,
,,,0.549,-11.829,-2.439,E,dead,medium,57.0
,,,15.549,-39.329,-72.195,E,dead,medium,57.0
0.022,-1.324,-0.058,,,,,,,
,,,25.671,-43.476,-51.28,E,dead,medium,57.0
,,,3.72,1.951,4.756,E,dead,medium,57.0
0.225,-1.018,-0.056,,,,,,,
,,,-19.268,47.683,11.585,E,dead,medium,57.0
,,,-0.366,23.232,38.11,E,dead,medium,57.0
0.114,-1.365,-0.152,,,,,,,
,,,12.195,-9.085,-2.805,E,dead,medium,57.0
,,,-43.72,51.402,5.671,E,dead,medium,57.0
0.12,-1.011,0.13,,,,,,,
,,,-26.341,19.39,21.768,E,dead,medium,57.0
,,,2.805,-2.134,8.963,E,dead,medium,57.0
0.126,-1.074,-0.18,,,,,,,
,,,7.012,56.524,9.573,E,dead,medium,57.0
,,,-1.707,103.902,-1.341,E,dead,medium,57.0
0.124,-0.962,-0.009,,,,,,,
,,,-8.72,122.988,4.39,E,dead,medium,57.0
,,,5.671,58.78,15.183,E,dead,medium,57.0
0.066,-1.011,-0.174,,,,,,,
,,,14.634,-33.78,22.988,E,dead,medium,57.0
,,,18.415,-89.146,18.902,E,dead,medium,57.0
0.108,-1.14,-0.073,,,,,,,
,,,10.305,-93.537,14.207,E,dead,medium,57.0
,,,1.524,-47.988,13.841,E,dead,medium,57.0
0.226,-1.176,0.053,,,,,,,
,,,1.951,-95.244,9.39,E,dead,medium,57.0
,,,-27.988,-15.61,-29.939,E,dead,medium,57.0
0.061,-0.978,0.212,,,,,,,
,,,-18.659,71.89,-29.634,E,dead,medium,57.0
,,,-18.11,40.854,11.28,E,dead,medium,57.0
0.026,-0.963,-0.342,,,,,,,
,,,22.805,-16.951,-0.61,E,dead,medium,57.0
,,,20.671,-47.439,-1.402,E,dead,medium,57.0
0.116,-1.154,-0.081,,,,,,,
,,,33.049,-55.854,3.598,E,dead,medium,57.0
,,,11.829,-1.89,7.195,E,dead,medium,57.0
0.046,-0.951,0.007,,,,,,,
,,,7.561,11.768,0.671,E,dead,medium,57.0
,,,8.598,4.512,-10.976,E,dead,medium,57.0
0.026,-0.98,-0.015,,,,,,,
,,,-3.841,0.061,-5.0,E,dead,medium,57.0
,,,8.293,-16.524,-0.244,E,dead,medium,57.0
0.095,-1.086,-0.052,,,,,,,
,,,1.341,-8.598,0.244,E,dead,medium,57.0
,,,-13.841,0.854,0.183,E,dead,medium,57.0
0.092,-1.106,-0.007,,,,,,,
,,,1.098,-9.451,3.293,E,dead,medium,57.0
,,,-11.646,-2.012,6.159,E,dead,medium,57.0
0.104,-1.176,-0.016,,,,,,,
,,,-5.427,-2.439,0.793,E,dead,medium,57.0
,,,-8.78,1.646,4.268,E,dead,medium,57.0
0.082,-1.207,-0.036,,,,,,,
,,,-7.134,9.634,-1.22,E,dead,medium,57.0
,,,2.622,1.463,-3.902,E,dead,medium,57.0
0.062,-1.212,-0.097,,,,,,,
,,,0.915,0.305,-2.439,E,dead,medium,57.0
,,,3.841,-5.732,-3.598,E,dead,medium,57.0
0.083,-1.219,-0.071,,,,,,,
,,,10.61,-13.78,1.585,E,dead,medium,57.0
,,,6.22,-0.793,0.976,E,dead,medium,57.0
0.094,-1.196,-0.054,,,,,,,
,,,3.841,0.305,4.939,E,dead,medium,57.0
,,,16.707,-5.488,-0.488,E,dead,medium,57.0
0.085,-1.176,-0.063,,,,,,,
,,,11.159,0.305,5.366,E,dead,medium,57.0
,,,18.049,-2.256,3.598,E,dead,medium,57.0
0.076,-1.142,-0.033,,,,,,,
,,,24.207,-4.634,5.366,E,dead,medium,57.0
,,,26.098,-1.829,3.841,E,dead,medium,57.0
0.052,-1.041,-0.016,,,,,,,
,,,44.512,0.305,-2.927,E,dead,medium,57.0
,,,46.585,-1.89,-2.683,E,dead,medium,57.0
0.057,-0.865,0.027,,,,,,,
,,,50.915,10.732,-0.183,E,dead,medium,57.0
,,,65.305,2.683,1.951,E,dead,medium,57.0
0.079,-0.688,0.021,,,,,,,
,,,57.378,0.305,18.049,E,dead,medium,57.0
,,,58.293,1.524,13.415,E,dead,medium,57.0
0.066,-0.537,0.103,,,,,,,
,,,47.988,2.256,9.878,E,dead,medium,57.0
,,,22.5,-12.805,8.171,E,dead,medium,57.0
0.025,-0.546,0.311,,,,,,,
,,,-10.427,0.061,-5.183,E,dead,medium,57.0
,,,-20.915,-7.439,-0.488,E,dead,medium,57.0
0.039,-0.897,0.285,,,,,,,
,,,-27.866,-11.341,9.939,E,dead,medium,57.0
,,,-25.488,-9.085,8.72,E,dead,medium,57.0
0.013,-1.104,0.287,,,,,,,
,,,-29.878,4.085,6.098,E,dead,medium,57.0
,,,-40.915,10.671,4.512,E,dead,medium,57.0
0.033,-0.957,0.195,,,,,,,
,,,-28.415,-16.463,-3.598,E,dead,medium,57.0
,,,-32.195,-7.5,-2.866,E,dead,medium,57.0
0.021,-0.768,0.152,,,,,,,
,,,-32.927,-7.317,-8.049,E,dead,medium,57.0
,,,-32.439,-8.232,-1.341,E,dead,medium,57.0
0.058,-0.758,0.137,,,,,,,
,,,-38.11,-5.488,-1.585,E,dead,medium,57.0
,,,-41.89,8.659,-4.695,E,dead,medium,57.0
0.042,-0.842,0.038,,,,,,,
,,,-27.317,-8.598,-3.72,E,dead,medium,57.0
,,,-33.354,-2.927,-3.537,E,dead,medium,57.0
0.033,-0.924,-0.002,,,,,,,
,,,-25.244,-4.756,-5.305,E,dead,medium,57.0
,,,-11.098,-15.427,-0.427,E,dead,medium,57.0
0.071,-1.019,-0.034,,,,,,,
,,,-17.5,10.244,-0.488,E,dead,medium,57.0
,,,-1.22,-10.366,-1.28,E,dead,medium,57.0
0.028,-1.043,-0.063,,,,,,,
,,,-2.073,-12.317,-2.561,E,dead,medium,57.0
,,,-7.927,-10.366,-1.768,E,dead,medium,57.0
0.072,-1.055,-0.043,,,,,,,
,,,-3.72,-12.622,1.646,E,dead,medium,57.0
,,,0.366,-7.256,-1.829,E,dead,medium,57.0
0.068,-1.1,-0.087,,,,,,,
,,,-3.049,-5.427,2.317,E,dead,medium,57.0
,,,-2.5,4.085,-2.866,E,dead,medium,57.0
0.073,-1.142,-0.088,,,,,,,
,,,-4.878,6.585,2.866,E,dead,medium,57.0
,,,-1.463,-4.634,-11.037,E,dead,medium,57.0
0.034,-1.262,-0.09,,,,,,,
,,,19.512,-40.915,-80.0,E,dead,medium,57.0
,,,16.098,-31.951,-39.146,E,dead,medium,57.0
0.146,-1.114,-0.101,,,,,,,
,,,3.598,2.378,4.634,E,dead,medium,57.0
,,,6.098,7.378,3.537,E,dead,medium,57.0
0.172,-1.107,-0.152,,,,,,,
,,,2.866,20.183,12.744,E,dead,medium,57.0
,,,11.28,18.415,20.793,E,dead,medium,57.0
0.188,-1.223,0.053,,,,,,,
,,,-11.768,11.707,1.829,E,dead,medium,57.0
,,,-15.366,1.22,15.427,E,dead,medium,57.0
0.158,-1.082,-0.065,,,,,,,
,,,10.305,-35.854,2.256,E,dead,medium,57.0
,,,-6.951,16.951,6.463,E,dead,medium,57.0
0.098,-1.018,0.021,,,,,,,
,,,-15.549,48.78,20.244,E,dead,medium,57.0
,,,7.5,24.39,19.146,E,dead,medium,57.0
0.116,-1.065,-0.118,,,,,,,
,,,17.195,22.988,15.183,E,dead,medium,57.0
,,,11.402,40.061,9.756,E,dead,medium,57.0
0.044,-1.032,-0.03,,,,,,,
,,,1.646,35.488,1.646,E,dead,medium,57.0
,,,8.232,1.646,-3.415,E,dead,medium,57.0
0.043,-1.015,-0.065,,,,,,,
,,,4.939,-20.122,-4.268,E,dead,medium,57.0
,,,2.317,-50.305,-10.061,E,dead,medium,57.0
0.081,-1.023,-0.047,,,,,,,
,,,-6.585,-31.951,-7.5,E,dead,medium,57.0
,,,-13.659,-4.146,-4.024,E,dead,medium,57.0
0.102,-1.014,-0.002,,,,,,,
,,,-8.78,-5.732,-0.915,E,dead,medium,57.0
,,,1.159,-9.512,2.195,E,dead,medium,57.0
0.129,-1.067,-0.0,,,,,,,
,,,-3.293,-0.671,4.573,E,dead,medium,57.0
,,,-4.756,-14.207,4.878,E,dead,medium,57.0
0.063,-1.034,-0.021,,,,,,,
,,,-7.805,7.195,4.39,E,dead,medium,57.0
,,,-10.0,13.354,2.988,E,dead,medium,57.0
0.055,-1.011,-0.064,,,,,,,
,,,-3.902,0.305,3.476,E,dead,medium,57.0
,,,2.012,-8.902,-2.439,E,dead,medium,57.0
0.109,-1.067,-0.063,,,,,,,
,,,10.366,-15.0,-3.293,E,dead,medium,57.0
,,,24.39,-30.854,-4.39,E,dead,medium,57.0
0.14,-1.096,-0.068,,,,,,,
,,,13.415,-1.341,0.122,E,dead,medium,57.0
,,,6.463,18.537,7.439,E,dead,medium,57.0
0.1,-0.992,-0.033,,,,,,,
,,,-3.537,32.866,13.78,E,dead,medium,57.0
,,,5.976,18.902,7.378,E,dead,medium,57.0
0.033,-1.017,-0.103,,,,,,,
,,,-3.354,11.951,0.122,E,dead,medium,57.0
,,,-0.488,-4.146,1.341,E,dead,medium,57.0
0.04,-1.031,-0.035,,,,,,,
,,,-5.244,-6.159,3.963,E,dead,medium,57.0
,,,-13.232,-15.366,1.951,E,dead,medium,57.0
0.048,-1.017,-0.033,,,,,,,
,,,-6.585,-14.146,-3.598,E,dead,medium,57.0
,,,-8.841,-8.11,-0.793,E,dead,medium,57.0
0.104,-1.114,-0.041,,,,,,,
,,,-7.378,-11.159,2.5,E,dead,medium,57.0
,,,0.0,-6.951,2.256,E,dead,medium,57.0
0.072,-1.191,-0.062,,,,,,,
,,,-5.305,0.854,5.183,E,dead,medium,57.0
,,,1.524,1.524,0.732,E,dead,medium,57.0
0.056,-1.212,-0.094,,,,,,,
,,,5.549,-2.134,-0.976,E,dead,medium,57.0
,,,-2.012,6.524,-0.122,E,dead,medium,57.0
0.063,-1.216,-0.08,,,,,,,
,,,10.488,-8.841,-1.098,E,dead,medium,57.0
,,,2.866,3.841,1.037,E,dead,medium,57.0
0.068,-1.204,-0.096,,,,,,,
,,,12.744,-2.195,2.073,E,dead,medium,57.0
,,,11.768,-0.305,0.854,E,dead,medium,57.0
0.077,-1.199,-0.075,,,,,,,
,,,12.805,0.671,2.256,E,dead,medium,57.0
,,,15.61,0.244,-1.524,E,dead,medium,57.0
0.064,-1.152,-0.051,,,,,,,
,,,12.012,5.122,0.671,E,dead,medium,57.0
,,,24.573,-0.366,3.72,E,dead,medium,57.0
0.064,-1.109,-0.064,,,,,,,
,,,31.28,0.976,8.354,E,dead,medium,57.0
,,,40.244,-14.207,10.488,E,dead,medium,57.0
0.048,-1.019,0.016,,,,,,,
,,,31.159,8.171,2.561,E,dead,medium,57.0
,,,36.463,-4.817,-9.756,E,dead,medium,57.0
0.014,-0.862,0.003,,,,,,,
,,,50.671,-9.39,-18.72,E,dead,medium,57.0
,,,55.671,-12.561,-9.878,E,dead,medium,57.0
0.054,-0.749,0.056,,,,,,,
,,,55.244,-5.122,-5.915,E,dead,medium,57.0
,,,44.634,6.585,3.598,E,dead,medium,57.0
0.102,-0.584,0.105,,,,,,,
,,,30.732,19.695,18.232,E,dead,medium,57.0
,,,30.183,8.354,10.61,E,dead,medium,57.0
0.063,-0.611,0.215,,,,,,,
,,,2.866,-0.305,5.244,E,dead,medium,57.0
,,,-14.878,-4.573,2.988,E,dead,medium,57.0
0.021,-0.824,0.331,,,,,,,
,,,-24.817,-2.866,6.829,E,dead,medium,57.0
,,,-21.159,-0.427,11.951,E,dead,medium,57.0
0.039,-1.086,0.271,,,,,,,
,,,-20.122,6.585,4.756,E,dead,medium,57.0
,,,-18.232,-2.012,5.549,E,dead,medium,57.0
0.019,-1.07,0.243,,,,,,,
,,,-22.012,-5.0,2.5,E,dead,medium,57.0
,,,-21.341,-11.768,-2.744,E,dead,medium,57.0
0.011,-0.854,0.188,,,,,,,
,,,-31.768,-6.402,-5.793,E,dead,medium,57.0
,,,-34.817,2.073,-8.72,E,dead,medium,57.0
0.056,-0.726,0.123,,,,,,,
,,,-30.488,-3.963,-6.341,E,dead,medium,57.0
,,,-33.902,-5.122,-6.463,E,dead,medium,57.0
0.054,-0.771,0.069,,,,,,,
,,,-32.439,1.585,-7.683,E,dead,medium,57.0
,,,-26.768,-10.244,-7.073,E,dead,medium,57.0
0.024,-0.867,0.011,,,,,,,
,,,-25.488,-14.451,1.037,E,dead,medium,57.0
,,,-20.305,-17.073,0.793,E,dead,medium,57.0
0.065,-0.958,0.019,,,,,,,
,,,-24.817,-6.402,-1.341,E,dead,medium,57.0
,,,-9.695,-20.732,1.829,E,dead,medium,57.0
0.069,-1.007,-0.023,,,,,,,
,,,-12.927,-3.72,7.134,E,dead,medium,57.0
,,,-4.146,-13.049,-2.988,E,dead,medium,57.0
0.042,-1.047,-0.075,,,,,,,
,,,-5.915,-18.841,0.0,E,dead,medium,57.0
,,,-6.037,-8.537,2.988,E,dead,medium,57.0
0.079,-1.103,-0.046,,,,,,,
,,,-5.61,-1.646,1.28,E,dead,medium,57.0
,,,2.805,-12.561,2.805,E,dead,medium,57.0
0.067,-1.149,-0.105,,,,,,,
,,,-6.951,8.11,2.5,E,dead,medium,57.0
,,,-6.707,19.207,5.671,E,dead,medium,57.0
0.056,-1.192,-0.065,,,,,,,
,,,-0.244,-33.354,-68.72,E,dead,medium,57.0
,,,19.695,-47.622,-49.695,E,dead,medium,57.0
0.085,-1.182,-0.069,,,,,,,
,,,2.378,-10.549,-0.671,E,dead,medium,57.0
,,,-3.11,3.841,-9.146,E,dead,medium,57.0
0.166,-1.152,-0.129,,,,,,,
,,,6.585,-6.951,-11.951,E,dead,medium,57.0
,,,-0.122,27.805,6.037,E,dead,medium,57.0
0.151,-1.195,-0.004,,,,,,,
,,,-18.963,67.317,28.354,E,dead,medium,57.0
,,,-0.427,5.793,-1.768,E,dead,medium,57.0
0.112,-1.165,-0.091,,,,,,,
,,,-3.415,-5.183,-6.28,E,dead,medium,57.0
,,,-16.463,42.5,30.183,E,dead,medium,57.0
0.164,-1.0,-0.049,,,,,,,
,,,-24.39,46.646,22.5,E,dead,medium,57.0
,,,-6.524,23.415,-1.524,E,dead,medium,57.0
0.125,-1.103,-0.001,,,,,,,
,,,-5.61,12.012,-5.305,E,dead,medium,57.0
,,,1.22,-1.28,0.122,E,dead,medium,57.0
0.133,-1.084,-0.134,,,,,,,
,,,19.512,-49.146,5.732,E,dead,medium,57.0
,,,24.268,-54.207,12.317,E,dead,medium,57.0
0.142,-1.113,-0.042,,,,,,,
,,,27.5,-29.512,11.829,E,dead,medium,57.0
,,,14.634,15.427,16.951,E,dead,medium,57.0
0.104,-1.01,-0.055,,,,,,,
,,,-0.976,27.317,10.305,E,dead,medium,57.0
,,,6.585,0.0,7.805,E,dead,medium,57.0
-0.011,-0.983,-0.078,,,,,,,
,,,1.037,-9.634,8.049,E,dead,medium,57.0
,,,-8.171,-6.22,5.122,E,dead,medium,57.0
0.037,-1.056,-0.049,,,,,,,
,,,1.28,-22.439,0.671,E,dead,medium,57.0
,,,-7.134,-5.0,-2.378,E,dead,medium,57.0
0.081,-1.124,-0.033,,,,,,,
,,,-5.366,-3.72,-1.463,E,dead,medium,57.0
,,,-1.829,-12.805,1.89,E,dead,medium,57.0
0.095,-1.193,-0.054,,,,,,,
,,,-2.5,-14.085,1.159,E,dead,medium,57.0
,,,2.622,-25.976,1.707,E,dead,medium,57.0
0.049,-1.207,-0.09,,,,,,,
,,,-0.244,-37.256,-5.732,E,dead,medium,57.0
,,,-0.488,-11.341,-5.366,E,dead,medium,57.0
0.07,-1.206,-0.051,,,,,,,
,,,1.951,13.415,0.183,E,dead,medium,57.0
,,,5.61,3.171,0.488,E,dead,medium,57.0
0.081,-1.219,-0.078,,,,,,,
,,,10.061,8.537,-1.037,E,dead,medium,57.0
,,,7.439,6.707,1.098,E,dead,medium,57.0
0.059,-1.208,-0.08,,,,,,,
,,,11.098,-5.305,1.341,E,dead,medium,57.0
,,,8.293,-5.793,-0.061,E,dead,medium,57.0
0.049,-1.16,-0.063,,,,,,,
,,,18.232,-25.549,-2.744,E,dead,medium,57.0
,,,22.927,-1.585,-1.951,E,dead,medium,57.0
0.073,-1.106,-0.036,,,,,,,
,,,24.756,4.939,1.28,E,dead,medium,57.0
,,,34.451,16.463,-7.561,E,dead,medium,57.0
0.05,-1.0,0.017,,,,,,,
,,,38.72,16.646,-6.585,E,dead,medium,57.0
,,,55.244,4.146,-6.951,E,dead,medium,57.0
0.041,-0.812,-0.002,,,,,,,
,,,60.854,5.244,-5.915,E,dead,medium,57.0
,,,52.012,16.707,8.476,E,dead,medium,57.0
0.083,-0.61,0.076,,,,,,,
,,,58.415,9.634,12.256,E,dead,medium,57.0
,,,49.329,11.098,7.683,E,dead,medium,57.0
0.083,-0.498,0.162,,,,,,,
,,,29.024,-12.012,0.854,E,dead,medium,57.0
,,,10.305,-59.39,0.427,E,dead,medium,57.0
0.033,-0.722,0.277,,,,,,,
,,,-14.634,-37.866,5.0,E,dead,medium,57.0
,,,-19.878,-10.366,11.768,E,dead,medium,57.0
0.1,-0.96,0.284,,,,,,,
,,,-20.976,3.598,7.927,E,dead,medium,57.0
,,,-28.659,18.963,2.988,E,dead,medium,57.0
0.081,-1.027,0.258,,,,,,,
,,,-27.683,12.622,-1.159,E,dead,medium,57.0
,,,-33.354,15.671,1.341,E,dead,medium,57.0
0.053,-0.855,0.171,,,,,,,
,,,-39.695,8.72,-3.293,E,dead,medium,57.0
,,,-40.488,5.549,-2.439,E,dead,medium,57.0
0.044,-0.76,0.12,,,,,,,
,,,-34.207,-8.963,-6.098,E,dead,medium,57.0
,,,-35.244,-6.768,-4.756,E,dead,medium,57.0
0.05,-0.806,0.069,,,,,,,
,,,-26.098,-16.098,3.293,E,dead,medium,57.0
,,,-34.817,1.22,-0.305,E,dead,medium,57.0
0.06,-0.871,0.035,,,,,,,
,,,-25.366,-7.317,-0.61,E,dead,medium,57.0
,,,-22.134,-5.732,-2.317,E,dead,medium,57.0
0.06,-0.964,-0.035,,,,,,,
,,,-6.89,-18.963,5.244,E,dead,medium,57.0
,,,-12.378,-2.866,4.024,E,dead,medium,57.0
0.065,-1.064,0.003,,,,,,,
,,,-5.244,-6.646,10.0,E,dead,medium,57.0
,,,-5.183,-2.195,1.037,E,dead,medium,57.0
0.061,-1.052,-0.08,,,,,,,
,,,3.171,-13.78,-0.244,E,dead,medium,57.0
,,,1.159,-19.939,2.988,E,dead,medium,57.0
0.07,-1.089,-0.021,,,,,,,
,,,-1.098,-26.098,-4.695,E,dead,medium,57.0
,,,-7.683,-4.939,3.293,E,dead,medium,57.0
0.083,-1.14,-0.063,,,,,,,
,,,-11.646,0.488,1.463,E,dead,medium,57.0
,,,-9.878,-16.585,-37.5,E,dead,medium,57.0
0.021,-1.245,-0.062,,,,,,,
,,,9.451,-49.329,-71.098,E,dead,medium,57.0
,,,-9.817,-18.049,-17.683,E,dead,medium,57.0
0.155,-1.139,-0.065,,,,,,,
,,,-1.646,1.037,-7.866,E,dead,medium,57.0
,,,-1.646,29.695,-6.524,E,dead,medium,57.0
0.157,-1.075,-0.229,,,,,,,
,,,5.915,59.817,31.098,E,dead,medium,57.0
,,,18.354,43.049,43.415,E,dead,medium,57.0
0.172,-1.328,0.061,,,,,,,
,,,-6.037,18.354,-12.927,E,dead,medium,57.0
,,,-9.573,17.134,4.085,E,dead,medium,57.0
0.101,-1.013,-0.104,,,,,,,
,,,-16.22,31.159,31.524,E,dead,medium,57.0
,,,-19.573,36.463,11.524,E,dead,medium,57.0
0.114,-1.063,-0.073,,,,,,,
,,,-7.073,67.561,-5.854,E,dead,medium,57.0
,,,-12.561,120.183,0.366,E,dead,medium,57.0
0.141,-1.022,0.054,,,,,,,
,,,-5.671,118.11,10.549,E,dead,medium,57.0
,,,15.366,83.537,22.744,E,dead,medium,57.0
0.001,-0.959,-0.035,,,,,,,
,,,25.366,-31.646,26.22,E,dead,medium,57.0
,,,22.5,-120.122,28.963,E,dead,medium,57.0
-0.015,-1.097,-0.298,,,,,,,
,,,16.585,-94.207,7.622,E,dead,medium,57.0
,,,11.524,-50.244,0.061,E,dead,medium,57.0
0.228,-1.102,0.048,,,,,,,
,,,3.841,-17.378,3.841,E,dead,medium,57.0
,,,-8.476,-21.159,-5.549,E,dead,medium,57.0
0.102,-1.05,0.111,,,,,,,
,,,-16.28,16.951,-18.476,E,dead,medium,57.0
,,,-7.012,18.476,-25.427,E,dead,medium,57.0
0.042,-1.022,0.052,,,,,,,
,,,-14.573,17.805,1.402,E,dead,medium,57.0
,,,-2.5,12.195,12.317,E,dead,medium,57.0
0.099,-1.056,-0.153,,,,,,,
,,,19.329,13.11,3.72,E,dead,medium,57.0
,,,16.341,12.195,-3.659,E,dead,medium,57.0
0.078,-1.076,0.03,,,,,,,
,,,3.72,-18.232,-5.183,E,dead,medium,57.0
,,,4.024,-78.415,-7.622,E,dead,medium,57.0
0.018,-0.979,-0.104,,,,,,,
,,,0.793,-53.354,-1.524,E,dead,medium,57.0
,,,2.439,-16.707,-3.232,E,dead,medium,57.0
0.044,-0.982,-0.03,,,,,,,
,,,-6.585,4.024,-5.366,E,dead,medium,57.0
,,,1.707,-13.232,-0.854,E,dead,medium,57.0
0.122,-1.112,-0.02,,,,,,,
,,,-1.22,-6.098,5.854,E,dead,medium,57.0
,,,-3.476,-9.939,-0.793,E,dead,medium,57.0
0.078,-0.985,-0.04,,,,,,,
,,,-12.988,1.22,-4.207,E,dead,medium,57.0
,,,-3.72,-6.768,-2.378,E,dead,medium,57.0
0.104,-1.076,-0.051,,,,,,,
,,,-7.439,-7.622,0.915,E,dead,medium,57.0
,,,-10.366,-2.134,1.89,E,dead,medium,57.0
0.093,-1.111,-0.028,,,,,,,
,,,0.122,-15.854,2.744,E,dead,medium,57.0
,,,-3.293,3.963,4.695,E,dead,medium,57.0
0.101,-1.176,-0.041,,,,,,,
,,,-1.829,-4.146,0.854,E,dead,medium,57.0
,,,5.976,-31.463,0.915,E,dead,medium,57.0
0.06,-1.182,-0.073,,,,,,,
,,,9.573,-45.061,-1.707,E,dead,medium,57.0
,,,12.439,-54.207,-2.073,E,dead,medium,57.0
0.088,-1.207,-0.071,,,,,,,
,,,4.451,-11.28,-1.585,E,dead,medium,57.0
,,,3.354,14.939,2.5,E,dead,medium,57.0
0.119,-1.185,-0.067,,,,,,,
,,,5.061,9.085,7.012,E,dead,medium,57.0
,,,6.951,7.073,1.524,E,dead,medium,57.0
0.089,-1.211,-0.059,,,,,,,
,,,8.78,8.476,7.744,E,dead,medium,57.0
,,,5.976,10.427,5.061,E,dead,medium,57.0
0.066,-1.166,-0.063,,,,,,,
,,,12.988,4.207,0.244,E,dead,medium,57.0
,,,11.707,-10.854,-0.793,E,dead,medium,57.0
0.048,-1.126,-0.038,,,,,,,
,,,20.488,-18.354,-6.28,E,dead,medium,57.0
,,,29.39,-31.037,-3.049,E,dead,medium,57.0
0.057,-1.053,-0.028,,,,,,,
,,,36.22,-21.524,-9.878,E,dead,medium,57.0
,,,36.768,10.915,-3.537,E,dead,medium,57.0
0.103,-0.909,0.001,,,,,,,
,,,45.061,15.244,-2.683,E,dead,medium,57.0
,,,43.476,22.195,1.159,E,dead,medium,57.0
0.075,-0.754,0.042,,,,,,,
,,,56.463,16.098,7.195,E,dead,medium,57.0
,,,58.902,12.683,2.317,E,dead,medium,57.0
0.063,-0.555,0.073,,,,,,,
,,,47.866,9.268,1.463,E,dead,medium,57.0
,,,33.049,-2.744,-2.195,E,dead,medium,57.0
0.065,-0.598,0.252,,,,,,,
,,,6.768,-19.573,-1.28,E,dead,medium,57.0
,,,-23.11,-9.207,8.476,E,dead,medium,57.0
0.085,-0.772,0.262,,,,,,,
,,,-24.512,-11.463,14.512,E,dead,medium,57.0
,,,-32.378,3.11,9.695,E,dead,medium,57.0
0.061,-0.974,0.287,,,,,,,
,,,-37.256,10.244,2.195,E,dead,medium,57.0
,,,-40.61,11.28,-7.744,E,dead,medium,57.0
0.011,-0.92,0.159,,,,,,,
,,,-31.22,-12.073,-7.866,E,dead,medium,57.0
,,,-36.829,-2.683,-7.256,E,dead,medium,57.0
0.091,-0.8,0.118,,,,,,,
,,,-39.39,-10.0,0.793,E,dead,medium,57.0
,,,-43.72,-1.951,1.098,E,dead,medium,57.0
0.079,-0.75,0.006,,,,,,,
,,,-32.317,-10.183,-1.646,E,dead,medium,57.0
,,,-31.402,-13.78,0.488,E,dead,medium,57.0
0.056,-0.889,-0.031,,,,,,,
,,,-28.415,-6.951,1.402,E,dead,medium,57.0
,,,-24.329,-15.854,0.0,E,dead,medium,57.0
0.058,-0.951,-0.029,,,,,,,
,,,-19.695,-13.293,-1.402,E,dead,medium,57.0
,,,-4.695,-17.256,-1.22,E,dead,medium,57.0
0.074,-1.082,-0.034,,,,,,,
,,,-0.488,-8.902,10.732,E,dead,medium,57.0
,,,0.305,-4.817,-6.463,E,dead,medium,57.0
0.091,-1.083,-0.044,,,,,,,
,,,-0.122,1.89,1.402,E,dead,medium,57.0
,,,-3.841,5.549,2.073,E,dead,medium,57.0
0.081,-1.087,-0.077,,,,,,,
,,,5.244,-12.073,6.159,E,dead,medium,57.0
,,,3.78,-14.085,5.793,E,dead,medium,57.0
0.07,-1.15,-0.087,,,,,,,
,,,-2.622,1.463,3.293,E,dead,medium,57.0
,,,5.488,-17.622,-46.463,E,dead,medium,57.0
0.063,-1.224,-0.066,,,,,,,
,,,20.427,-47.378,-71.707,E,dead,medium,57.0
,,,5.305,-11.646,-10.976,E,dead,medium,57.0
0.176,-1.071,-0.07,,,,,,,
